City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,coquimbo,-29.9533,-71.3436,295.92,51,0,6.17,CL,03-02-2025
233,haiku-pauwela,20.9219,-156.3051,295.95,76,14,3.58,US,03-02-2025
234,okha,53.5739,142.9478,249.96,98,87,3.25,RU,04-02-2025
235,shendi,16.6915,33.4341,300.69,28,0,4.78,SD,03-02-2025
236,hovd,48.0056,91.6419,253.6,74,100,2.98,MN,04-02-2025
237,pimentel,-6.8367,-79.9342,302.31,51,0,5.66,PE,03-02-2025
238,remire-montjoly,4.9167,-52.2667,301.17,78,75,6.17,GF,03-02-2025
239,lihue,21.9789,-159.3672,295.23,75,20,3.09,US,03-02-2025
240,katsuura,35.1333,140.3,282.8,57,47,6.65,JP,04-02-2025
241,vallenar,-28.5708,-70.7581,304.33,29,2,5.3,CL,03-02-2025
242,salahonda,2.1019,-78.7217,299.68,83,26,7.99,CO,03-02-2025
243,usogorsk,63.4106,48.6872,256.38,96,100,3.36,RU,03-02-2025
244,opuwo,-18.0607,13.84,296.37,58,37,3.46,NA,03-02-2025
245,hongch'on,37.6918,127.8857,260.02,64,0,4.07,KR,04-02-2025
246,alaghsas,17.0187,8.0168,299.09,12,100,3.09,NE,03-02-2025
247,santona,43.4439,-3.4576,285.41,85,0,0.95,ES,03-02-2025
248,ain beida,35.7964,7.3928,279.18,82,100,3.53,DZ,03-02-2025
249,yanggu,36.1106,115.7753,269.68,28,0,3.6,CN,04-02-2025
250,fale old settlement,-9.3852,-171.2468,301.45,71,26,6.02,TK,04-02-2025
251,vernon,50.2581,-119.2691,261.17,58,100,2.24,CA,03-02-2025
252,aksu,41.1231,80.2644,265.97,74,7,1.35,CN,04-02-2025
253,olyokminsk,60.3736,120.4264,252.92,89,100,5.78,RU,04-02-2025
254,menongue,-14.6585,17.691,292.76,93,100,1.11,AO,03-02-2025
255,magistral'nyy,56.1725,107.4458,241.58,98,98,1.22,RU,04-02-2025
256,arraial do cabo,-22.9661,-42.0278,307.13,55,20,7.72,BR,03-02-2025
